Recruitment Field,Precision,Recall,F-Measure
11/B1,0.667,0.606,0.635
12/F1,0.650,0.619,0.634
03/C1,0.613,0.655,0.633
09/B1,0.667,0.600,0.632
13/A5,0.611,0.647,0.629
06/D4,0.609,0.651,0.629
06/I1,0.583,0.683,0.629
03/C2,0.640,0.615,0.627
05/C1,0.552,0.727,0.627
09/A3,0.636,0.618,0.627
13/A2,0.633,0.620,0.626
07/B2,0.625,0.625,0.625
09/E1,0.621,0.621,0.621
06/C1,0.580,0.667,0.620
09/B3,0.600,0.632,0.615
05/A2,0.571,0.667,0.615
13/B5,0.667,0.571,0.615
10/D4,0.563,0.675,0.614
10/M2,0.630,0.586,0.607
09/A1,0.647,0.564,0.603
01/A6,0.667,0.545,0.600
07/F2,0.667,0.545,0.600
01/A3,0.595,0.602,0.599
02/B1,0.558,0.614,0.585
07/H5,0.538,0.636,0.583
10/A1,0.609,0.557,0.582
07/D1,0.563,0.600,0.581
10/D2,0.542,0.619,0.578
09/D3,0.520,0.650,0.578
07/G1,0.565,0.591,0.578
12/B1,0.536,0.625,0.577
07/A1,0.559,0.576,0.567
13/B4,0.579,0.550,0.564
10/I1,0.611,0.524,0.564
02/B2,0.553,0.565,0.559
12/H3,0.600,0.500,0.545
09/E2,0.526,0.556,0.541
14/B2,0.550,0.524,0.537
10/E1,0.545,0.522,0.533
03/B1,0.520,0.542,0.531
10/M1,0.526,0.526,0.526
06/A1,0.485,0.571,0.525
14/B1,0.519,0.467,0.491
12/H1,0.500,0.467,0.483
08/B1,0.467,0.500,0.483
03/B2,0.500,0.462,0.480
02/A2,0.558,0.420,0.479
10/H1,0.400,0.462,0.429
02/A1,0.394,0.438,0.414
07/H3,0.385,0.417,0.400
05/F1,0.250,0.182,0.211
06/F3,0.250,0.167,0.200
