Recruitment Field,Precision,Recall,F-Measure
08/C1,0.843,0.711,0.771
04/A2,0.703,0.849,0.769
07/H1,0.833,0.714,0.769
12/G2,0.750,0.789,0.769
13/B1,0.726,0.815,0.768
11/A3,0.800,0.737,0.767
08/E2,0.706,0.837,0.766
12/G1,0.667,0.900,0.766
10/F2,0.804,0.725,0.763
09/G1,0.727,0.800,0.762
09/C2,0.784,0.741,0.762
10/L1,0.731,0.792,0.760
06/E2,0.717,0.805,0.759
12/E3,0.750,0.769,0.759
07/B2,0.690,0.833,0.755
01/A4,0.763,0.744,0.753
13/A1,0.753,0.753,0.753
09/H1,0.737,0.768,0.752
03/D1,0.734,0.770,0.752
13/C1,0.769,0.732,0.750
05/D1,0.637,0.905,0.748
11/A1,0.759,0.733,0.746
09/D3,0.696,0.800,0.744
02/B2,0.800,0.696,0.744
10/M2,0.697,0.793,0.742
11/A2,0.708,0.767,0.736
09/E1,0.710,0.759,0.733
11/C2,0.695,0.774,0.732
06/A2,0.654,0.827,0.730
11/B1,0.767,0.697,0.730
12/C2,0.727,0.727,0.727
13/A5,0.684,0.765,0.722
03/C1,0.672,0.776,0.720
03/C2,0.667,0.769,0.714
09/A2,0.714,0.714,0.714
13/A2,0.733,0.685,0.708
01/A2,0.641,0.787,0.707
12/H1,0.632,0.800,0.706
13/D3,0.750,0.667,0.706
05/A1,0.716,0.696,0.706
10/C1,0.740,0.675,0.706
05/E2,0.667,0.747,0.705
04/A1,0.717,0.691,0.704
11/C1,0.676,0.735,0.704
12/D2,0.765,0.650,0.703
09/A1,0.692,0.692,0.692
12/H3,0.786,0.611,0.688
13/D2,0.706,0.667,0.686
12/B2,0.765,0.619,0.684
14/B2,0.700,0.667,0.683
13/D4,0.625,0.726,0.672
06/C1,0.624,0.724,0.670
06/I1,0.703,0.634,0.667
10/H1,0.875,0.538,0.667
03/A1,0.692,0.643,0.667
03/D2,0.636,0.700,0.667
14/B1,0.667,0.667,0.667
07/B1,0.667,0.667,0.667
10/D2,0.667,0.667,0.667
07/A1,0.667,0.667,0.667
07/C1,0.737,0.609,0.667
12/E1,0.651,0.683,0.667
03/A2,0.645,0.682,0.663
09/B3,0.733,0.579,0.647
11/A5,0.704,0.594,0.644
10/G1,0.686,0.603,0.642
01/A5,0.615,0.667,0.640
06/D6,0.638,0.638,0.638
06/D5,0.625,0.652,0.638
10/M1,0.710,0.579,0.638
09/D2,0.609,0.667,0.636
10/N3,0.600,0.667,0.632
05/H1,0.612,0.652,0.632
07/G1,0.609,0.636,0.622
07/E1,0.610,0.625,0.617
09/E2,0.571,0.667,0.615
07/H5,0.583,0.636,0.609
10/D4,0.615,0.600,0.608
12/H2,0.556,0.667,0.606
05/C1,0.667,0.545,0.600
07/H2,0.667,0.545,0.600
10/E1,0.583,0.609,0.596
01/A3,0.627,0.566,0.595
06/D4,0.657,0.535,0.590
03/B2,0.750,0.462,0.571
06/D2,0.579,0.564,0.571
13/A3,0.613,0.528,0.567
10/A1,0.574,0.557,0.565
13/B4,0.679,0.475,0.559
06/A1,0.536,0.536,0.536
12/B1,0.571,0.500,0.533
08/B1,0.545,0.429,0.480
13/B5,0.500,0.429,0.462
07/H3,0.455,0.417,0.435
02/A2,0.656,0.304,0.416
02/B1,0.486,0.243,0.324
03/B1,0.429,0.250,0.316
07/F2,0.375,0.273,0.316
10/I1,0.417,0.238,0.303
07/D1,0.600,0.200,0.300
02/A1,0.326,0.097,0.150
05/F1,0.250,0.030,0.054
06/F3,0.000,0.000,0.000
